nome,cidade,endereco,numero
AUTO POSTO AVIAÇÃO - VIADUTO,Joinville,Avenida Santos Dumont, 6550, Aventureiro,(47) 9843-13094
VIADUTO BEBIDAS,Joinville,Rua Tuiuti, 4386, Aventureiro,(47) 99738-4173
AUTO POSTO HEMEROCALIS,Joinville,Avenida Santos Dumont, 3023, Zona Industrial Norte,(47) 9890-25433
AUTO POSTO GLORIA,Joinville,Rua Marquês de Olinda, 3700, Glória,(47) 3207-0227
STORE 047 (JACKSON LOJA 047 ROUPAS),Joinville,Rua Tuiuti, 2731, Aventureiro,(47) 3804-6669
FP DISTRIBUIDORA DE BEBIDAS,Joinville,Rua Dona Francisca, 3277, Saguaçu,
KR BEER,Joinville,Avenida Kurt Meinert, 2086, Paranaguamirim,
BLACK SHEEP - DISTRIBUIDORA,Joinville,Rua Profeta Jeremias, 84, Vila Cubatão,
CONVENIENCIA ALTAS HORAS,Joinville,Rua Maria Regina Klock Russi, 64, Aventureiro,
TRANQUILEBAS BEER,Joinville,Avenida Getúlio Vargas, 784, Anita Garibaldi,
NUTRICENTER,Joinville,Rua Lages, 480, América,
TABACARIA EMPORIO,Joinville,Avenida Paulo Schroeder, 2399, Petrópolis,
BARBEARIA CAMBRUZZI,Joinville,Rua Dona Elza Meinert, 187, Costa e Silva,
CASA DOS PAMPAS,Joinville,Rua Marquês de Olinda, 2821, Glória,
BKS COMERCIO DE ALIMENTOS LTDA,Joinville,Rua Cidade de Barretos, 371, Ulysses Guimarães,
JONAS EDUARDO LINS,Joinville,Rua Jonecir José Baierski, 1075, Petrópolis,
MENGUES BURGER,Joinville,Avenida Júpiter, 447, Jardim Paraíso,
VIVA DISTRIBUIDORA LTDA,Joinville,Rua Otto Pfuetzenreuter, 371, Costa e Silva,
PANIFICADORA PÃO DO LAR,Joinville,Rua de Paula, 94, Aventureiro,
MERCADO DOIS IRMOES,Joinville,Rua do Porto, 1735, Jardim Iririú,
MERCADO KALINHO LTDA,Joinville,Rua Antônio Jorge Cecyn, 393, Aventureiro,
Müller conveniência,Joinville,Rua Piratuba, 1580, Iririú,
CONVENIÊNCIA RAFITA,Joinville,Rua Paulo Malschitzki, 80, Zona Industrial Norte,
F&C Conveniência,Joinville,Rua Iririú, 956, Saguaçu,
Aventureiro Bebidas,Joinville,Rua Santa Luzia, 562, Aventureiro,
BEAK STORE TABACARIA & BEBIDAS LTDA,Joinville,Rua Leopoldo Beninca, 954, Vila Nova,
Mercearia Vô Zaca,Joinville,Rua Lauro Schroeder 838, Aventureiro,
La casa de Bebidas - Aventureiro,Joinville,Rua Tuiuti, 2163, Aventureiro,
La casa de Bebidas - Jarivatuba,Joinville,Rua Monsenhor Gercino, 4477, Jarivatuba,
MM BEBIDAS LTDA,Joinville,Rua Rio do Braço, 518, Jardim Sofia,
MS BEBIDAS,Joinville,Rua Santa Luzia,853, Aventureiro, Sala 02,
LOJA SUPLEME FIT,Joinville,Rua Monsenhor Gercino, 3375, Itaum,
JC CONVENIENCIA,Joinville,Rua Eurídes Francisco Tomasoni, 298, Ulysses Guimarães,
JOVENS BEBIDAS E CONVENIÊNCIA ADHEMAR LTDA,Joinville,Avenida Alwino Hansen, 128, Adhemar Garcia,
DRY OFFICE (ALC) BOA VISTA,Joinville,Rua Prefeito Helmuth Fallgatter, 2647, Boa Vista,
CALEBE BACK DA ROCHA 08564699982 (Barbeiro Careca),Joinville,Rua Manoel Francisco de Oliveira, 263,Aventureiro,
CONVENIÊNCIA POPULAR,Joinville,Avenida Miguel Alves Castanha, 21, Aventureiro,
MERCADO & HORTIFRUTI SAO JOSE LTDA,Joinville,Rua Avencal, 588, Comasa,
MERCADO ZANON,Joinville,Rua Sebastião S de Borba, 358, Espinheiros,
BONATTI CONVENIÊNCIA,Joinville,Rua Márcio Luckow, 939, Vila Nova,
A2 CONVENIÊNCIA (ADSON DE LIMA),Joinville,Rua Paulo Schneider, 217, Vila Nova,
EMPÓRIUM COMÉRCIO DE PRODUTOS NATURAIS LTDA,Joinville,Rua do Príncipe, 777, Centro, Sala 02,
REDE BEST PIZZA (ITAJAI - ANA PAULA NEGREIROS),Itajai,Rua Domingos Nunes dos Santos, 426, Santa Regina,
BARBEARIA SR MUSTACHE LTDA,Itajai,Av. José Eugênio Müller, 1450 - Vila Operaria - sala 2,
DALE DALE - Bar & Conveniência (54.023.158 BRUNO DOS SANTOS VASZELEWSKI),Balneário Camboriú,R. Guaraparim, 360 - Tabuleiro,
SUPERMERCADO SPECIALE LTDA,Balneário Camboriú,Avenida Do Estado Dalmo Vieira, 4340, Estados,
48.587.643 ROSELAINE DE OLIVEIRA ZACARIAS (FARMACIA),Joinville,R. Lauro Schroeder, 838 - Aventureiro,
FLNG DRINKS E CONVENIENCIA LTDA,Balneário Camboriú,Avenida Atlântica, 1800, Centro, sala 03,
SUPERMERCADO BARRIM,São José do Itaperiú,Rua José Bonifácio Pires, 678, Centro,
SUPERMERCADO MPM LTDA (Mercado Pag Menos Loja 02),Joinville,Rua Albano Schmidt, 2296, Boa Vista,
FS BEBIDAS (FELIPE SCHAMBACH COMERCIO DE BEBIDAS LTDA),Joinville,Rua Dona Francisca, 3277, Saguaçu,
ASSADÃO E CONVENIENCIAS PE DE PANO LTDA,Joinville,Rua das Cegonhas, 1183, Iririú,
RESTAURANTE ORIENTALI CENTRAL LTDA,Balneário Camboriú,Av. Central, 74, Centro,
BEACH COFFEE E CONVENIÊNCIA (52.887.279 DIEGO CARDOSO DA SILVA),Balneário Camboriú,Rua 51, 164 - Centro,
TORRADAO LANCHES LTDA,Balneário Camboriú,Av. Alvin Bauer, 310,Centro,
TRISKA BEER STORE (60.343.641 MARLOS ROBERTO MELLO),Balneário Camboriú,Rua Jamaica, 250, Nações,
20.457.531 LUCIANE SOARES,Balneário Camboriú,Av. Rodesindo Pavan, 535, Praia do Estaleirinho,
JQ DISTRIBUICAO LTDA,Balneário Camboriú,RUA 272, 270, Meia Praia, LOJA 01,
BORBA BEER,Joinville,Rua Daniela Peres, 388, Parque Guarani,
CASA DE CARNE NAÇÕES,Balneário Camboriú,Rua Panama, 670, Nações, Sala 1,
PONTO DO PAO BC,Balneário Camboriú,AV PALESTINA, 868, Nações,
SIMONE DA SILVA-K-9,Joinville,Rua Lages, 480, América, SALA 8,
AUTO POSTO ORQUIDEA,Joinville,Rua Dona Francisca, 11758, Pirabeiraba,
KINTAL KLARO (ESTRELLA BARES LTDA),Balneário Camboriú,RUA MARROCOS, 626, Nações,
50.148.274 JULIANO DAL MOLIN MENINE DORNELES (xisdosulbalneario),Balneário Camboriú,R ITALIA, 240, Nações,
MINIMERCADO STOP LTDA,Balneário Camboriú,Rua México, 651, Nações,
CATUTO BEBIDAS,Joinville,Rua Santo Agostinho, 184, Guanabara,
60.320.779 FABIO FERNANDO TRINDADE,Joinville,Rua Ilhéus,189, Floresta,
POSTO PAPA (COMERCIO DE COMBUSTIVEIS VEGINI LTDA),Joinville,Rua Papa João XXIII, 882, Iririú,
TERRA PASTEL (M. L. STEVANIN & CIA LTDA),Balneário Camboriú,Rua 908, 25, Centro,
MARKET BEE COMERCIO LTDA,Balneário Camboriú,Av. Atlântica, 1200, Centro,
MINIMERCADO CASAGRANDA LTDA,Balneário Camboriú,Avenida Do Estado Dalmo Vieira, 2680, Nações,
IMPERIO DO GOLE BEBIDAS E CONVENIENCIA,Itajai,Rua Estefano José Vanolli, 898, São Vicente,
EMPORIUM EXPRESS MINIMERCADO E CONVENIENCIA LTDA,Balneário Camboriú,R. Dinamarca, 172, Nações, Sala 02 e 03,
HPrime,Joinville,R. Joaçaba, 328, Saguaçu,
PIZZARIA BC,Balneário Camboriú,R. 101, 61, Centro,
CONVENIÊNCIA MARLEY,Balneário Camboriú,R. Rio Negrinho, 89, Bairro Rio Pequeno,
FIESTA BAHIANA EVENTOS E PROMOCOES LTDA,Balneário Camboriú,AV BRASIL, 1594, CENTRO, SALA 31,
STREET LOUG BAR (47.794.753 SABRINA RITA JOVINO DA SILVA),Itajai,Rua Vereador Airton de Souza, 442, São Vicente, sala 03,
MF SOLUCOES GASTRONOMICAS (FRANCIELI FANTIN BAR LTDA),Balneário Camboriú,R 51, 125, centro, sala 03,
CONVENIÊNCIA JARDIM DAS NAÇÕES (59.400.939 VINICIUS COSTA MALAQUIAS),Balneário Camboriú,R ISRAEL, 491, Nações, loja 2,
SUPERMERCADO POLASTRO LTDA,Ervino,RUA BARRA VELHA , 1368, PRAIA GRANDE,
FLAME CONVENIENCIA,Jaragua do sul,Rua Walter Marquardt, 744, Barra do Rio Molha,
CASA DA CARNE,Pous redondo,Rua Gotlieb Reif, 335, Progresso,
CELEIRO BAR E BRASA,Pirabeiraba,Rua Olavo Bilac, 31, Pirabeiraba,
